"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","accuracy","f1","model_type","symbol","threshold","horizon"
"2025-11-10 19:06:14","1.3s","0a221beeb7054e2d8644e443e2ec472a","ETHUSDT_XGBoost_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5667107001321003","0.6463339494762785","XGBoost","ETHUSDT","0.01","40"
"2025-11-10 19:06:10","3.5s","10120ae8cbc041cf8c762e03af2df217","ETHUSDT_RandomForest_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5759577278731837","0.6564745451765785","RandomForest","ETHUSDT","0.01","40"
"2025-11-10 19:06:09","1.1s","20a944791c634f99aab28f0e18be6a56","ETHUSDT_LogisticRegression_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5629364030949235","0.6378986866791745","LogisticRegression","ETHUSDT","0.01","40"
"2025-11-10 18:54:35","11.6min","65b7d98c04a14b83bd74db483583c6c5","BNBUSDT_LightGBM_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5351546805946163","0.6686712485681557","LightGBM_OPT","BNBUSDT","0.01","40"
"2025-11-10 18:54:31","4.7s","7ca465d706884d439d101398ed110dc1","BNBUSDT_XGBoost_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5373644033748494","0.674671563780195","XGBoost_OPT","BNBUSDT","0.01","40"
"2025-11-10 18:54:20","11.0s","15f7a80fd10f4cb7ae9a777e0932beae","BNBUSDT_RandomForest_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5112494977902772","0.6038104543234001","RandomForest_OPT","BNBUSDT","0.01","40"
"2025-11-10 18:54:18","1.2s","a556e7dc161345adb982844f0b156e44","BNBUSDT_LightGBM_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5315387705905986","0.6491122479687029","LightGBM","BNBUSDT","0.01","40"
"2025-11-10 18:54:17","1.8s","6c399555a4c949b2995be618b84b7df7","BNBUSDT_XGBoost_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5343511450381679","0.6611111111111111","XGBoost","BNBUSDT","0.01","40"
"2025-11-10 18:54:13","3.2s","244df4a7e052491b9cdeb4dfc32f8fbc","BNBUSDT_RandomForest_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5226998794696666","0.6248815914114304","RandomForest","BNBUSDT","0.01","40"
"2025-11-10 18:54:12","1.5s","0dfa9935f7fd4362a1150a2358a1773c","BNBUSDT_LogisticRegression_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5114503816793893","0.535700649102711","LogisticRegression","BNBUSDT","0.01","40"
"2025-11-10 18:36:51","11.6min","4f7416ca4d6945048eb787dbbb044672","SOLUSDT_LightGBM_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5373596593108788","0.6628103837471784","LightGBM_OPT","SOLUSDT","0.02","60"
"2025-11-10 18:36:50","1.9s","b3543668b19e41b0bacde42dc2b14534","SOLUSDT_XGBoost_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5476190476190477","0.6736489317134479","XGBoost_OPT","SOLUSDT","0.02","60"
"2025-11-10 18:36:39","10.5s","eefe732d379544469326d81d2ac922d6","SOLUSDT_RandomForest_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.4930313588850174","0.5876239962210675","RandomForest_OPT","SOLUSDT","0.02","60"
"2025-11-10 18:36:38","1.3s","faf56e8abe584c18b8e7f7524d728171","SOLUSDT_LightGBM_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5034843205574913","0.6049591868165717","LightGBM","SOLUSDT","0.02","60"
"2025-11-10 18:36:36","1.4s","7717fc48e3a545afb95554ef69380dec","SOLUSDT_XGBoost_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5172280294231514","0.6208574034660991","XGBoost","SOLUSDT","0.02","60"
"2025-11-10 18:36:33","3.4s","d2d1262bf0084e408290c5934a1a767f","SOLUSDT_RandomForest_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5139372822299652","0.6064880112834978","RandomForest","SOLUSDT","0.02","60"
"2025-11-10 18:36:32","1.1s","398c59b17dd04446b2f427bebd211f98","SOLUSDT_LogisticRegression_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5356174990321332","0.647982391782832","LogisticRegression","SOLUSDT","0.02","60"
"2025-11-10 18:24:49","11.7min","eacbc03ebb4843f2a32d5c60dda3fb0c","BTCUSDT_LightGBM_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5252161383285303","0.6704450741790299","LightGBM_OPT","BTCUSDT","0.02","60"
